2022-08-07 23:53:48,268 INFO    MainThread:98541 [wandb_setup.py:_flush():76] Configure stats pid to 98541
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_setup.py:_flush():76] Loading settings from /home/akshat/.config/wandb/settings
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_setup.py:_flush():76] Loading settings from /home/akshat/Documents/Github/Homoglyph_Phishing_Detection/code/wandb/settings
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code/train.py', 'program': '/home/akshat/Documents/Github/Homoglyph_Phishing_Detection/code/train.py'}
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:_log_setup():461] Logging user logs to /home/akshat/Documents/Github/Homoglyph_Phishing_Detection/code/wandb/run-20220807_235348-3bo0n4b6/logs/debug.log
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:_log_setup():462] Logging internal logs to /home/akshat/Documents/Github/Homoglyph_Phishing_Detection/code/wandb/run-20220807_235348-3bo0n4b6/logs/debug-internal.log
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:init():495] calling init triggers
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:init():548] starting backend
2022-08-07 23:53:48,269 INFO    MainThread:98541 [wandb_init.py:init():552] setting up manager
2022-08-07 23:53:48,275 INFO    MainThread:98541 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-07 23:53:48,280 INFO    MainThread:98541 [wandb_init.py:init():558] backend started and connected
2022-08-07 23:53:48,284 INFO    MainThread:98541 [wandb_init.py:init():636] updated telemetry
2022-08-07 23:53:48,289 INFO    MainThread:98541 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-07 23:53:48,773 INFO    MainThread:98541 [wandb_run.py:_on_init():1982] communicating current version
2022-08-07 23:53:48,893 INFO    MainThread:98541 [wandb_run.py:_on_init():1986] got version response 
2022-08-07 23:53:48,893 INFO    MainThread:98541 [wandb_init.py:init():700] starting run threads in backend
2022-08-07 23:53:50,468 INFO    MainThread:98541 [wandb_run.py:_console_start():1962] atexit reg
2022-08-07 23:53:50,468 INFO    MainThread:98541 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-07 23:53:50,469 INFO    MainThread:98541 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-07 23:53:50,469 INFO    MainThread:98541 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-07 23:53:50,469 INFO    MainThread:98541 [wandb_init.py:init():732] run started, returning control to user process
2022-08-07 23:54:03,673 WARNING MsgRouterThr:98541 [router.py:message_loop():76] message_loop has been closed
